meta_analysis_type,target,label_zh,number_of_year_strata,events,total_core_records,crude_proportion,pooled_random_effects_proportion,ci_low,ci_high,I2_percent,tau2,Q,year_2021_events,year_2021_total,year_2022_events,year_2022_total,year_2023_events,year_2023_total,year_2024_events,year_2024_total,year_2025_events,year_2025_total,year_2026_events,year_2026_total
random_effects_logit_proportion_by_publication_year,core_pediatric_evidence,核心证据中直接儿科证据比例,6,170,532,0.31954887218045114,0.4274277983231594,0.28605835566483284,0.5817346733839069,87.52823924796283,0.46155530225044344,40.090570204237515,6,8,16,19,28,52,28,93,58,199,34,161
random_effects_logit_proportion_by_publication_year,LLM_or_generative_AI,核心证据中LLM/生成式AI比例,6,326,532,0.6127819548872181,0.49541463720417145,0.32065578445651144,0.6713011336565007,89.57624761237936,0.5743285987454951,47.96737119291177,0,8,0,19,13,52,62,93,134,199,117,161
random_effects_logit_proportion_by_publication_year,abstract_reported_quantitative_statistics,核心证据中摘要报告定量统计比例,6,293,532,0.5507518796992481,0.550935459812222,0.5012091011496891,0.5996640917283611,15.631748157348706,0.009925402878178939,5.926399908492964,7,8,14,19,28,52,50,93,104,199,90,161
random_effects_logit_proportion_by_publication_year,A1_child_agency_proxy_decision,儿童/青少年主体性、代理决策与保密,6,74,532,0.13909774436090225,0.14399430989063697,0.11624385047302872,0.17704239733880925,0.0,0.0,4.6851692811461225,0,8,1,19,4,52,17,93,28,199,24,161
random_effects_logit_proportion_by_publication_year,A2_safety_utility_action_threshold,安全-效用阈值与升级决策,6,263,532,0.4943609022556391,0.4944259099900152,0.42912919465290794,0.5599133325649339,44.02955533035052,0.04191017795024825,8.933286182575745,0,8,10,19,23,52,46,93,92,199,92,161
random_effects_logit_proportion_by_publication_year,A3_evidence_boundary_epistemic_responsibility,证据边界与认识论责任,6,279,532,0.5244360902255639,0.48714007126282316,0.3637177298638983,0.6121508021709502,84.09689030118174,0.2957830331773263,31.440391814511266,3,8,11,19,14,52,42,93,99,199,110,161
random_effects_logit_proportion_by_publication_year,A4_equity_context_access,公平、社会处境与可及性,6,428,532,0.8045112781954887,0.7860354509804792,0.7186940596264222,0.840826452261205,55.251972617734225,0.10109563607586544,11.173676902641668,7,8,11,19,36,52,77,93,163,199,134,161
random_effects_logit_proportion_by_publication_year,A5_communication_empathy_nonsycophancy,沟通、共情与非迎合边界,6,157,532,0.2951127819548872,0.3005692351891529,0.250683713983608,0.355669873131702,31.10254492518593,0.028477042708977857,7.257162103550301,5,8,3,19,19,52,26,93,54,199,50,161
random_effects_logit_proportion_by_publication_year,A6_accountability_consent_traceability,同意、隐私、责任与可追溯,6,243,532,0.4567669172932331,0.45716994183128223,0.4129701210491155,0.5020545488758119,5.022044809865713,0.0028104095992733877,5.264379497316624,2,8,5,19,25,52,39,93,95,199,77,161
random_effects_logit_proportion_by_publication_year,A7_resource_allocation_incentives,资源配置、家庭负担与激励冲突,6,138,532,0.2593984962406015,0.2674335774988081,0.2147520509401069,0.3276462352576602,41.41188483864918,0.048302838779097836,8.534154045116612,3,8,2,19,21,52,22,93,49,199,41,161
random_effects_logit_proportion_by_publication_year,A8_human_ai_role_boundaries,人机角色边界与临床自主权,6,194,532,0.36466165413533835,0.359033103643704,0.30225644330487317,0.4200542724600096,38.80109372417409,0.03618567118126098,8.170080650567186,2,8,6,19,18,52,29,93,66,199,73,161
